chr,start,end
chr1,96799,190411
chr1,190412,528180
chr1,528189,668867
chr1,668876,786981
chr1,786984,861718
chr1,861721,929518
chr1,929523,984920
chr1,984939,1048365
chr1,1048372,1113917
chr1,1113918,1178043
chr1,1178046,1241971
chr1,1241972,1295510
chr1,1295529,1351373
chr1,1351374,1415221
chr1,1415223,1474235
chr1,1474250,1525367
chr1,1525379,1586895
chr1,1586902,1644448
chr1,1644482,1701566
chr1,1701567,1766041
chr1,1766071,1842159
chr1,1842159,1913225
chr1,1913233,1974599
chr1,1974612,2042722
chr1,2042723,2106797
chr1,2106797,2175028
chr1,2175036,2242030
chr1,2242031,2304985
chr1,2304989,2367237
chr1,2367238,2437013
chr1,2437024,2505312
chr1,2505318,2575222
chr1,2575223,2652514
chr1,2652514,2673017
chr1,2673019,2686361
chr1,2686362,2698045
chr1,2698046,2756343
chr1,2756343,2788843
chr1,2788883,2859222
chr1,2859222,2925192
chr1,2925193,2998486
chr1,2998498,3078960
chr1,3078969,3147642
chr1,3147643,3209997
chr1,3210005,3282895
chr1,3282912,3354915
chr1,3354936,3429700
chr1,3429701,3500898
chr1,3500911,3570824
chr1,3570852,3643218
chr1,3643230,3719453
chr1,3719463,3797676
chr1,3797679,3879408
chr1,3879446,3954561
chr1,3954581,4038376
chr1,4038381,4110199
chr1,4110207,4191527
chr1,4191535,4282545
chr1,4282561,4362663
chr1,4362663,4449433
chr1,4449434,4529035
chr1,4529036,4612411
chr1,4612417,4691675
chr1,4691682,4772589
chr1,4772590,4860176
chr1,4860191,4943126
chr1,4943128,5031505
chr1,5031509,5117850
chr1,5117854,5206630
chr1,5206631,5286132
chr1,5286133,5373380
chr1,5373389,5458206
chr1,5458214,5547195
chr1,5547198,5638573
chr1,5638574,5713043
chr1,5713044,5796255
chr1,5796261,5873049
chr1,5873057,5956073
chr1,5956084,6035983
chr1,6035984,6118558
chr1,6118582,6195885
chr1,6195888,6276301
chr1,6276305,6356594
chr1,6356628,6437051
chr1,6437068,6517263
chr1,6517306,6597427
chr1,6597428,6675938
chr1,6675946,6756789
chr1,6756800,6845837
chr1,6845838,6938882
chr1,6938885,7032369
chr1,7032392,7126081
chr1,7126102,7222875
chr1,7222886,7315399
chr1,7315404,7406812
chr1,7406815,7491607
chr1,7491608,7571804
chr1,7571806,7661978
chr1,7661984,7748259
chr1,7748260,7839116
chr1,7839123,7924730
chr1,7924730,8007452
chr1,8007452,8100924
chr1,8100926,8188043
chr1,8188050,8264850
chr1,8264869,8349426
chr1,8349438,8429266
chr1,8429273,8515162
chr1,8515176,8605585
chr1,8605607,8699720
chr1,8699731,8791463
chr1,8791478,8877055
chr1,8877071,8955948
chr1,8955949,9039762
chr1,9039762,9122756
chr1,9122758,9206813
chr1,9206814,9285669
chr1,9285711,9365885
chr1,9365886,9448754
chr1,9448761,9526824
chr1,9526842,9609732
chr1,9609732,9688387
chr1,9688396,9771921
chr1,9771959,9853911
chr1,9853919,9942063
chr1,9942065,10030139
chr1,10030141,10119712
chr1,10119716,10203699
chr1,10203701,10290170
chr1,10290180,10388316
chr1,10388317,10464796
chr1,10464797,10554383
chr1,10554401,10643869
chr1,10643872,10724135
chr1,10724143,10807203
chr1,10807209,10888655
chr1,10888657,10970564
chr1,10970575,11047862
chr1,11047884,11130748
chr1,11130766,11228507
chr1,11228518,11317582
chr1,11317583,11407075
chr1,11407080,11491848
chr1,11491849,11575414
chr1,11575416,11663237
chr1,11663238,11750062
chr1,11750063,11834074
chr1,11834075,11908910
chr1,11908911,11987578
chr1,11987579,12069087
chr1,12069088,12160769
chr1,12160774,12250184
chr1,12250193,12352529
chr1,12352532,12456137
chr1,12456138,12548619
chr1,12548620,12636754
chr1,12636758,12728298
chr1,12728300,12808120
chr1,12808131,12864757
chr1,12864758,12926235
chr1,12926238,13050708
chr1,13050709,13181489
chr1,13181505,13258741
chr1,13258770,13326006
chr1,13326006,13392708
chr1,13392722,13465736
chr1,13465736,13549965
chr1,13549976,13634965
chr1,13634988,13726327
chr1,13726335,13818379
chr1,13818379,13911142
chr1,13911142,14006881
chr1,14006892,14100754
chr1,14100756,14191562
chr1,14191564,14286242
chr1,14286260,14378051
chr1,14378072,14456076
chr1,14456093,14542844
chr1,14542852,14636508
chr1,14636518,14728561
chr1,14728592,14819833
chr1,14819837,14907244
chr1,14907259,14996146
chr1,14996160,15078423
chr1,15078433,15167332
chr1,15167333,15261076
chr1,15261152,15353910
chr1,15353925,15437913
chr1,15437914,15523897
chr1,15523899,15609426
chr1,15609426,15697797
chr1,15697797,15780638
chr1,15780644,15857069
chr1,15857082,15949402
chr1,15949406,16036066
chr1,16036074,16110458
chr1,16110464,16194720
chr1,16194721,16286705
chr1,16286709,16368723
chr1,16368734,16454195
chr1,16454200,16518901
chr1,16518905,16573435
chr1,16573438,16609534
chr1,16609542,16643489
chr1,16643497,16707692
chr1,16707694,16758535
chr1,16758541,16862378
chr1,16862379,16906557
chr1,16906557,16965687
chr1,16965702,17050913
chr1,17050914,17138269
chr1,17138273,17226649
chr1,17226650,17315677
chr1,17315690,17395751
chr1,17395758,17465825
chr1,17465827,17550018
chr1,17550027,17641417
chr1,17641427,17725724
chr1,17725733,17817883
chr1,17817890,17910343
chr1,17910369,17999665
chr1,17999668,18083128
chr1,18083170,18173827
chr1,18173837,18262809
chr1,18262810,18352278
chr1,18352282,18446672
chr1,18446682,18540659
chr1,18540673,18628419
chr1,18628421,18714914
chr1,18714920,18799286
chr1,18799287,18887032
chr1,18887051,18978906
chr1,18978942,19066298
chr1,19066301,19169913
chr1,19169927,19265957
chr1,19265976,19347576
chr1,19347584,19435918
chr1,19435922,19520626
chr1,19520630,19611987
chr1,19611987,19701573
chr1,19701576,19797598
chr1,19797599,19887263
chr1,19887271,19981842
chr1,19981843,20079410
chr1,20079431,20171984
chr1,20172005,20272067
chr1,20272076,20362631
chr1,20362647,20462149
chr1,20462153,20558330
chr1,20558336,20647465
chr1,20647465,20728143
chr1,20728144,20812528
chr1,20812569,20906160
chr1,20906169,21001723
chr1,21001726,21093443
chr1,21093448,21182784
chr1,21182798,21268323
chr1,21268333,21358291
chr1,21358295,21436471
chr1,21436481,21530505
chr1,21530505,21616135
chr1,21616136,21704062
chr1,21704068,21791421
chr1,21791424,21877732
chr1,21877734,21963491
chr1,21963494,22030763
chr1,22030764,22114715
chr1,22114734,22206495
chr1,22206495,22292898
chr1,22292905,22386041
chr1,22386043,22483695
chr1,22483793,22578100
chr1,22578101,22656377
chr1,22656400,22748377
chr1,22748377,22844524
chr1,22844557,22943841
chr1,22943841,23036256
chr1,23036262,23139017
chr1,23139017,23229695
chr1,23229706,23321921
chr1,23321921,23409066
chr1,23409074,23503614
chr1,23503614,23584228
chr1,23584246,23672609
chr1,23672609,23755112
chr1,23755122,23840571
chr1,23840580,23927971
chr1,23927972,24011141
chr1,24011146,24097331
chr1,24097344,24190637
chr1,24190640,24284189
chr1,24284220,24382345
chr1,24382355,24486989
chr1,24486990,24578898
chr1,24578914,24666976
chr1,24666989,24749630
chr1,24749630,24845228
chr1,24845248,24935568
chr1,24935573,25025476
chr1,25025497,25115988
chr1,25115988,25207678
chr1,25207678,25293549
chr1,25293553,25388854
chr1,25388856,25482920
chr1,25482921,25580422
chr1,25580427,25671622
chr1,25671651,25773439
chr1,25773446,25864911
chr1,25864927,25960257
chr1,25960280,26055435
chr1,26055440,26146379
chr1,26146381,26238026
chr1,26238031,26324970
chr1,26324971,26409432
chr1,26409435,26497493
chr1,26497501,26588815
chr1,26588852,26673566
chr1,26673569,26758663
chr1,26758667,26846112
chr1,26846112,26931956
chr1,26931959,27018270
chr1,27018278,27100439
chr1,27100446,27191511
chr1,27191511,27280428
chr1,27280457,27371893
chr1,27371897,27462963
chr1,27462966,27546577
chr1,27546579,27638328
chr1,27638350,27730827
chr1,27730870,27830076
chr1,27830096,27915789
chr1,27915789,28017129
chr1,28017129,28116546
chr1,28116590,28207733
chr1,28207740,28294712
chr1,28294718,28375340
chr1,28375342,28463990
chr1,28464005,28543240
chr1,28543240,28624095
chr1,28624147,28696102
chr1,28696112,28779451
chr1,28779498,28871061
chr1,28871075,28962152
chr1,28962155,29059136
chr1,29059145,29145521
chr1,29145535,29235061
chr1,29235065,29335063
chr1,29335063,29428460
chr1,29428476,29527359
chr1,29527389,29628683
chr1,29628685,29721668
chr1,29721671,29816688
chr1,29816704,29909817
chr1,29909818,30006660
chr1,30006660,30101797
chr1,30101819,30200129
chr1,30200131,30291378
chr1,30291379,30382470
chr1,30382471,30470639
chr1,30470649,30562009
chr1,30562012,30654476
chr1,30654477,30742453
chr1,30742457,30832387
chr1,30832392,30916756
chr1,30916766,31007793
chr1,31007796,31087915
chr1,31087917,31164620
chr1,31164634,31243400
chr1,31243403,31339459
chr1,31339466,31433861
chr1,31433878,31528957
chr1,31528957,31617194
chr1,31617199,31717853
chr1,31717857,31818370
chr1,31818373,31908135
chr1,31908135,31994873
chr1,31994879,32082092
chr1,32082102,32159567
chr1,32159575,32247754
chr1,32247756,32334413
chr1,32334418,32428208
chr1,32428253,32520564
chr1,32520578,32606922
chr1,32606954,32686537
chr1,32686562,32770684
chr1,32770686,32857802
chr1,32857806,32953274
chr1,32953276,33042544
chr1,33042544,33141109
chr1,33141151,33240888
chr1,33240909,33335999
chr1,33335999,33437213
chr1,33437215,33535443
chr1,33535452,33639172
chr1,33639173,33739312
chr1,33739321,33834839
chr1,33834840,33934833
chr1,33934833,34035034
chr1,34035057,34129235
chr1,34129240,34222886
chr1,34222894,34314739
chr1,34314748,34409886
chr1,34409887,34507632
chr1,34507641,34605265
chr1,34605266,34704484
chr1,34704486,34799620
chr1,34799628,34902026
chr1,34902029,34996860
chr1,34996862,35093294
chr1,35093326,35176814
chr1,35176815,35252712
chr1,35252721,35343303
chr1,35343313,35438854
chr1,35438854,35536881
chr1,35536883,35636591
chr1,35636591,35728020
chr1,35728038,35824320
chr1,35824354,35925227
chr1,35925250,36022651
chr1,36022652,36116154
chr1,36116154,36203662
chr1,36203665,36280687
chr1,36280727,36366836
chr1,36366836,36457207
chr1,36457216,36549820
chr1,36549822,36645907
chr1,36645910,36741824
chr1,36741831,36837426
chr1,36837426,36939067
chr1,36939068,37030542
chr1,37030542,37119264
chr1,37119266,37214425
chr1,37214442,37312926
chr1,37312927,37407641
chr1,37407650,37500250
chr1,37500255,37591367
chr1,37591381,37686056
chr1,37686093,37779104
chr1,37779107,37874698
chr1,37874720,37961441
chr1,37961444,38045359
chr1,38045360,38142188
chr1,38142195,38244425
chr1,38244443,38340089
chr1,38340097,38442926
chr1,38442931,38543026
chr1,38543037,38643705
chr1,38643706,38743278
chr1,38743303,38841864
chr1,38841865,38928749
chr1,38928749,39009147
chr1,39009150,39088276
chr1,39088280,39182023
chr1,39182024,39277228
chr1,39277237,39375885
chr1,39375901,39475806
chr1,39475809,39561828
chr1,39561850,39648386
chr1,39648396,39742754
chr1,39742770,39826620
chr1,39826629,39918486
chr1,39918489,40007188
chr1,40007189,40100060
chr1,40100070,40194951
chr1,40194954,40288405
chr1,40288413,40381541
chr1,40381541,40481970
chr1,40481975,40574436
chr1,40574438,40670574
chr1,40670574,40767870
chr1,40767879,40865012
chr1,40865017,40951545
chr1,40951556,41042663
chr1,41042680,41144589
chr1,41144598,41247513
chr1,41247515,41347774
chr1,41347774,41441702
chr1,41441710,41535663
chr1,41535664,41637455
chr1,41637467,41738963
chr1,41738966,41843939
chr1,41843940,41949879
chr1,41949901,42058500
chr1,42058501,42155289
chr1,42155301,42244670
chr1,42244676,42334713
chr1,42334716,42430236
chr1,42430246,42534783
chr1,42534784,42637965
chr1,42637998,42730217
chr1,42730254,42824143
chr1,42824148,42919620
chr1,42919621,43007628
chr1,43007647,43098955
chr1,43098967,43196342
chr1,43196352,43295340
chr1,43295340,43398468
chr1,43398476,43498555
chr1,43498556,43588194
chr1,43588198,43670475
chr1,43670483,43766532
chr1,43766536,43872349
chr1,43872350,43975192
chr1,43975198,44066167
chr1,44066173,44151106
chr1,44151112,44249931
chr1,44249948,44351031
chr1,44351036,44450023
chr1,44450036,44545319
chr1,44545320,44641735
chr1,44641746,44730908
chr1,44730908,44806188
chr1,44806190,44897111
chr1,44897140,44987993
chr1,44988000,45088837
chr1,45088879,45184790
chr1,45184799,45288320
chr1,45288355,45383074
chr1,45383078,45477561
chr1,45477569,45559693
chr1,45559697,45639813
chr1,45639814,45724704
chr1,45724708,45805445
chr1,45805446,45898431
chr1,45898434,45990382
chr1,45990382,46091138
chr1,46091138,46186634
chr1,46186635,46277048
chr1,46277075,46358622
chr1,46358622,46450502
chr1,46450514,46541177
chr1,46541181,46639986
chr1,46639999,46744226
chr1,46744229,46840299
chr1,46840306,46932314
chr1,46932318,47026653
chr1,47026665,47128038
chr1,47128044,47223269
chr1,47223299,47316800
chr1,47316809,47412467
chr1,47412486,47510588
chr1,47510589,47609386
chr1,47609387,47707721
chr1,47707727,47803487
chr1,47803489,47903055
chr1,47903056,47997731
chr1,47997731,48095459
chr1,48095467,48194231
chr1,48194232,48289293
chr1,48289310,48377847
chr1,48377852,48475186
chr1,48475194,48573216
chr1,48573218,48676723
chr1,48676731,48781612
chr1,48781622,48893711
chr1,48893712,49006034
chr1,49006034,49111323
chr1,49111324,49217397
chr1,49217419,49314068
chr1,49314088,49420073
chr1,49420082,49526309
chr1,49526312,49622793
chr1,49622803,49726868
chr1,49726870,49828143
chr1,49828164,49921621
chr1,49921624,50012015
chr1,50012016,50120716
chr1,50120724,50225129
chr1,50225139,50326599
chr1,50326616,50420959
chr1,50420979,50524302
chr1,50524303,50626598
chr1,50626598,50720499
chr1,50720505,50814838
chr1,50814839,50908121
chr1,50908122,51005111
chr1,51005113,51106160
chr1,51106170,51207778
chr1,51207798,51302039
chr1,51302052,51396444
chr1,51396446,51491843
chr1,51491851,51588033
chr1,51588041,51689621
chr1,51689632,51793067
chr1,51793083,51895753
chr1,51895757,51996798
chr1,51996818,52087371
chr1,52087379,52178286
chr1,52178294,52271938
chr1,52271957,52362856
chr1,52362866,52457513
chr1,52457525,52553786
chr1,52553796,52653002
chr1,52653003,52745028
chr1,52745033,52821326
chr1,52821329,52908658
chr1,52908659,53006823
chr1,53006826,53099084
chr1,53099087,53183910
chr1,53183938,53287890
chr1,53287919,53380915
chr1,53380926,53476513
chr1,53476517,53568860
chr1,53568867,53668729
chr1,53668732,53766695
chr1,53766705,53867458
chr1,53867459,53964999
chr1,53965002,54059486
chr1,54059490,54161562
chr1,54161563,54247002
chr1,54247003,54327987
chr1,54328010,54407679
chr1,54407685,54488834
chr1,54488840,54567298
chr1,54567300,54655021
chr1,54655035,54747675
chr1,54747732,54844406
chr1,54844417,54934996
chr1,54935014,55027255
chr1,55027265,55124012
chr1,55124012,55226544
chr1,55226553,55320000
chr1,55320000,55419328
chr1,55419340,55515413
chr1,55515425,55612202
chr1,55612208,55685090
chr1,55685092,55784900
chr1,55784911,55883037
chr1,55883049,55978728
chr1,55978736,56078588
chr1,56078592,56176894
chr1,56176895,56276626
chr1,56276626,56373097
chr1,56373137,56471054
chr1,56471054,56570614
chr1,56570653,56667637
chr1,56667645,56770337
chr1,56770342,56866959
chr1,56866991,56959162
chr1,56959163,57052789
chr1,57052803,57148416
chr1,57148459,57246252
chr1,57246258,57343524
chr1,57343525,57439431
chr1,57439431,57536950
chr1,57536952,57635111
chr1,57635112,57735176
chr1,57735184,57834585
chr1,57834591,57935344
chr1,57935352,58036644
chr1,58036657,58130988
chr1,58130991,58231688
chr1,58231715,58330013
chr1,58330022,58425827
chr1,58425830,58522648
chr1,58522654,58620389
chr1,58620413,58713503
chr1,58713519,58809685
chr1,58809698,58918478
chr1,58918496,59015525
chr1,59015538,59110999
chr1,59111006,59212202
chr1,59212202,59311235
chr1,59311236,59409631
chr1,59409632,59509504
chr1,59509512,59596242
chr1,59596250,59690530
chr1,59690531,59794721
chr1,59794722,59899937
chr1,59899938,59998343
